Ray endpoint 1: lat. (deg. N), long. (deg. E), height (km)
   46.85   15.75     0.00
Ray endpoint 2: lat. (deg. N), long. (deg. E), height (km)
   44.28   -4.33 20000.00
zenith angle (deg.) and azimuth (N over E to S, deg.) of ray at endpoint 1 
   18.69  -93.05
Year, S10.7, R12, month, UT: ****,  98.3,  45.0,  1,  3.0

Electron contents along ray.
  (h1-h2) means from point in height h1 to point in height h2 (heights in km)
 s: coordinate along ray
 r: radius (distance from center of Earth)
 
      s       r    height  lat   long   el.density
     km      km      km   deg N  deg E    m^-3
  2597.9  8871.2  2500.0   46.29    7.96 0.493375E+09
  2854.6  9121.2  2750.0   46.24    7.43 0.424139E+09
  3110.9  9371.2  3000.0   46.18    6.93 0.371285E+09
  3366.9  9621.2  3250.0   46.12    6.45 0.329621E+09
  3622.6  9871.2  3500.0   46.07    6.01 0.295906E+09
  3878.0 10121.2  3750.0   46.02    5.58 0.268025E+09
  4133.1 10371.2  4000.0   45.96    5.18 0.244547E+09
  4388.0 10621.2  4250.0   45.91    4.80 0.224470E+09
  4642.6 10871.2  4500.0   45.86    4.43 0.207077E+09
  4897.0 11121.2  4750.0   45.82    4.09 0.191840E+09
  5151.2 11371.2  5000.0   45.77    3.76 0.178361E+09
  5405.3 11621.2  5250.0   45.72    3.44 0.166339E+09
  5659.2 11871.2  5500.0   45.68    3.14 0.155537E+09
  5912.9 12121.2  5750.0   45.63    2.85 0.145771E+09
  6166.4 12371.2  6000.0   45.59    2.57 0.136891E+09
  6419.8 12621.2  6250.0   45.55    2.31 0.128778E+09
  6673.1 12871.2  6500.0   45.51    2.06 0.121333E+09
  6926.2 13121.2  6750.0   45.47    1.81 0.114476E+09
  7179.3 13371.2  7000.0   45.43    1.58 0.108137E+09
  7432.2 13621.2  7250.0   45.39    1.35 0.102261E+09
  7685.0 13871.2  7500.0   45.36    1.14 0.967985E+08
  7937.7 14121.2  7750.0   45.32    0.93 0.917083E+08
  8190.3 14371.2  8000.0   45.29    0.73 0.869546E+08
  8442.8 14621.2  8250.0   45.25    0.53 0.825065E+08
  8695.2 14871.2  8500.0   45.22    0.35 0.783370E+08
  8947.6 15121.2  8750.0   45.19    0.17 0.744223E+08
  9199.9 15371.2  9000.0   45.15  359.99 0.707415E+08
  9452.1 15621.2  9250.0   45.12  359.82 0.672759E+08
  9704.2 15871.2  9500.0   45.09  359.66 0.640091E+08
  9956.2 16121.2  9750.0   45.06  359.50 0.609265E+08
 10208.2 16371.2 10000.0   45.04  359.35 0.580146E+08
 10460.2 16621.2 10250.0   45.01  359.20 0.552616E+08
 10712.1 16871.2 10500.0   44.98  359.06 0.526563E+08
 10963.9 17121.2 10750.0   44.95  358.92 0.501891E+08
 11215.7 17371.2 11000.0   44.93  358.78 0.478510E+08
 11467.4 17621.2 11250.0   44.90  358.65 0.456339E+08
 11719.1 17871.2 11500.0   44.88  358.52 0.435302E+08
 11970.7 18121.2 11750.0   44.85  358.40 0.415329E+08
 12222.3 18371.2 12000.0   44.83  358.28 0.396358E+08
 12473.8 18621.2 12250.0   44.81  358.16 0.378329E+08
